translation.general-actions.save,Сохранить
translation.general-actions.cancel,Отмена
translation.general-actions.loading,Загрузка
translation.general-actions.delete,Удалить
translation.general-actions.report,Пожаловаться
translation.landing-page.get-started,Начать
translation.landing-page.welcome,Добро пожаловать в TimeScale Creator!
translation.landing-page.welcome-desc,TimeScale Creator — это современный облачный сервис, созданный для удобного изучения и визуализации геологической временной шкалы. Благодаря доступу к обширной внутренней базе данных из более чем 20 000 глобальных и региональных событий — включая биологические, геомагнитные, изменения уровня моря и данные по стабильным изотопам — TimeScale Creator является незаменимым инструментом для исследователей, преподавателей и любителей истории Земли.
translation.landing-page.carousel.customize-chart.title,Настройте вашу диаграмму
translation.landing-page.carousel.customize-chart.customize-chart-appearance.title,Настройка внешнего вида диаграммы
translation.landing-page.carousel.customize-chart.customize-chart-appearance.description,Персонализируйте диаграмму, изменяя внешний вид, цвета и шрифты в соответствии с вашими предпочтениями.
translation.landing-page.carousel.customize-chart.save-custom-settings.title,Сохранить пользовательские настройки
translation.landing-page.carousel.customize-chart.save-custom-settings.description,Сохраните ваши настройки диаграммы для будущего использования и быстрого доступа к удобной конфигурации.
translation.landing-page.carousel.customize-chart.share-your-charts.title,Поделитесь своими диаграммами
translation.landing-page.carousel.customize-chart.share-your-charts.description,Легко делитесь своими диаграммами с другими через ссылку или скачайте их как изображение.
translation.landing-page.carousel.interactive-map-points.title,Интерактивные точки на карте
translation.landing-page.carousel.interactive-map-points.toggle-columns.title,Включайте и отключайте колонки прямо на карте
translation.landing-page.carousel.interactive-map-points.toggle-columns.description,Выбирайте определённые области для отображения, включая или отключая колонки диаграммы прямо на карте.
translation.landing-page.carousel.interactive-map-points.age-slider.title,Динамический ползунок возраста
translation.landing-page.carousel.interactive-map-points.age-slider.description,Исследуйте, как изменяются породы и геологические события во времени, с помощью простого ползунка.
translation.landing-page.carousel.interactive-map-points.link-charts.title,Связь диаграмм с локациями
translation.landing-page.carousel.interactive-map-points.link-charts.description,Точки на карте связывают колонки диаграммы с реальными местоположениями для наглядной визуализации.
translation.landing-page.carousel.search-columns.title,Поиск в колонках
translation.landing-page.carousel.search-columns.find-columns.title,Быстрый поиск колонок/событий
translation.landing-page.carousel.search-columns.find-columns.description,Ищите конкретные колонки или события на диаграмме, чтобы быстро находить и сосредотачиваться на нужной информации.
translation.landing-page.carousel.search-columns.age-range.title,Расширение/центрирование возрастного диапазона
translation.landing-page.carousel.search-columns.age-range.description,Расширяйте или центрируйте возрастной диапазон, чтобы сосредоточиться на деталях и гарантировать включение нужной информации в диаграмму.
translation.landing-page.carousel.search-columns.notes.title,Просмотр конкретных заметок
translation.landing-page.carousel.search-columns.notes.description,Получайте подробные заметки и информацию о конкретных событиях прямо с диаграммы.
translation.landing-page.carousel.upload.title,Загрузите свои данные!
translation.landing-page.carousel.upload.custom.title,Создавайте собственные датапаки
translation.landing-page.carousel.upload.custom.description,Загружайте свои данные для создания пользовательских датапаков и генерируйте диаграммы на основе ваших исследований и находок.
translation.landing-page.carousel.upload.showcase.title,Представьте свои исследования
translation.landing-page.carousel.upload.showcase.description,Публикуйте свои датапаки, чтобы делиться исследованиями, результатами и идеями с мировым научным сообществом.
translation.landing-page.carousel.upload.collaborate.title,Сотрудничайте с другими
translation.landing-page.carousel.upload.collaborate.description,Изучайте датапаки других пользователей и сотрудничайте для расширения знаний и опыта.
translation.landing-page.cards.datapack.title,Что такое датапаки?
translation.landing-page.cards.datapack.description,Датапаки — это наборы данных, которые можно использовать для создания диаграмм. TimeScale Creator предоставляет официальные датапаки с информацией о глобальных и региональных геологических событиях.
translation.landing-page.cards.charts.title,Что такое диаграммы?
translation.landing-page.cards.charts.description,Диаграммы — это визуальное представление геологической временной шкалы, показывающее взаимосвязи между различными геологическими событиями. Пользователи могут настраивать и генерировать диаграммы на основе своих исследований.
translation.landing-page.cards.help.title,Нужна помощь?
translation.landing-page.cards.help.description,Посетите один из наших воркшопов, чтобы узнать больше о TimeScale Creator и его возможностях. Наши воркшопы охватывают темы настройки диаграмм, создания датапаков и многое другое.
